pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,pro10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001180971451763,0.0002632275012412,0.0003393930711527,6.035811353406013e-05,0.0003307514249984,0.0003395031399493,0.0003844169900321,0.0001198384939299,0.0003760886771115,0.0003882500796923324
0.0028812081752113,0.0057320603512561,0.0135372194903107,0.0025726053242857,0.0115136320078607,0.0109134540309187,0.0089489608749337,0.0085930372290908,0.0093523174242815,0.00478338337222642
0.0197242330672047,0.0317634273739062,0.0219515816978711,0.0054881937297793,0.0316418987026864,0.0273333314116545,0.0300253698170899,0.0255764197041216,0.0186942961971506,0.006275233800538607
0.0481989331996528,0.014852563904657,0.025518519101126,0.0094126818281512,0.0584334243441965,0.0515894522194993,0.0540236715977757,0.0204972383382261,0.0352531378612389,0.008313884015883047
0.0374134896115106,0.0135307861355128,0.020475140817554,0.0161633540351661,0.074369533405826,0.0632633916661864,0.0608449444019487,0.020222258293611,0.0531821239553662,0.011643256911044425
