price
89.94
89.94
89.94
89.94
83.09
83.09
83.09
83.09
83.09
83.09
83.09
83.09
81.1
81.1
81.1
81.1
72.99
72.99
72.99
72.99
66.0
66.0
66.0
66.0
77.5
77.5
77.5
77.5
84.26
84.26
84.26
84.26
75.99
75.99
75.99
75.99
45.1
45.1
45.1
45.1
8.0
8.0
8.0
8.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
4.9
4.9
4.9
4.9
23.09
23.09
23.09
23.09
62.17
62.17
62.17
62.17
96.0
96.0
96.0
96.0
105.01
105.01
105.01
105.01
96.26
96.26
96.26
96.26
83.09
83.09
83.09
83.09
