id;name;geoname;value;datetime
600;Mercado SPOT;Portugal;72.99;2025-09-10T04:00:00+02:00
600;Mercado SPOT;Portugal;66;2025-09-10T05:00:00+02:00
600;Mercado SPOT;Portugal;77.5;2025-09-10T06:00:00+02:00
600;Mercado SPOT;Portugal;84.26;2025-09-10T07:00:00+02:00
600;Mercado SPOT;Portugal;75.99;2025-09-10T08:00:00+02:00
600;Mercado SPOT;Portugal;45.1;2025-09-10T09:00:00+02:00
600;Mercado SPOT;Portugal;8;2025-09-10T10:00:00+02:00
600;Mercado SPOT;Portugal;0;2025-09-10T11:00:00+02:00
600;Mercado SPOT;Portugal;0;2025-09-10T12:00:00+02:00
600;Mercado SPOT;Portugal;0;2025-09-10T13:00:00+02:00
600;Mercado SPOT;Portugal;0;2025-09-10T14:00:00+02:00
600;Mercado SPOT;Portugal;0;2025-09-10T15:00:00+02:00
600;Mercado SPOT;Portugal;0;2025-09-10T16:00:00+02:00
600;Mercado SPOT;Portugal;4.9;2025-09-10T17:00:00+02:00
600;Mercado SPOT;Portugal;23.09;2025-09-10T18:00:00+02:00
600;Mercado SPOT;Portugal;62.17;2025-09-10T19:00:00+02:00
600;Mercado SPOT;Portugal;96;2025-09-10T20:00:00+02:00
600;Mercado SPOT;Portugal;105.01;2025-09-10T21:00:00+02:00
600;Mercado SPOT;Portugal;96.26;2025-09-10T22:00:00+02:00
600;Mercado SPOT;Portugal;83.09;2025-09-10T23:00:00+02:00
705;Restricciones PBF;Península;165.9;2025-09-10T00:00:00+02:00
705;Restricciones PBF;Península;165.9;2025-09-10T01:00:00+02:00
705;Restricciones PBF;Península;165.9;2025-09-10T02:00:00+02:00
705;Restricciones PBF;Península;165.9;2025-09-10T03:00:00+02:00
705;Restricciones PBF;Península;165.9;2025-09-10T04:00:00+02:00
705;Restricciones PBF;Península;165.9;2025-09-10T05:00:00+02:00
705;Restricciones PBF;Península;165.78;2025-09-10T06:00:00+02:00
705;Restricciones PBF;Península;163.19;2025-09-10T07:00:00+02:00
705;Restricciones PBF;Península;162.7;2025-09-10T08:00:00+02:00
705;Restricciones PBF;Península;161.58;2025-09-10T09:00:00+02:00
705;Restricciones PBF;Península;159.94;2025-09-10T10:00:00+02:00
705;Restricciones PBF;Península;173.91;2025-09-10T11:00:00+02:00
705;Restricciones PBF;Península;173.91;2025-09-10T12:00:00+02:00
705;Restricciones PBF;Península;174.94;2025-09-10T13:00:00+02:00
705;Restricciones PBF;Península;174.94;2025-09-10T14:00:00+02:00
705;Restricciones PBF;Península;174.94;2025-09-10T15:00:00+02:00
705;Restricciones PBF;Península;174.94;2025-09-10T16:00:00+02:00
705;Restricciones PBF;Península;173.93;2025-09-10T17:00:00+02:00
705;Restricciones PBF;Península;161.14;2025-09-10T18:00:00+02:00
705;Restricciones PBF;Península;162.89;2025-09-10T19:00:00+02:00
705;Restricciones PBF;Península;169.59;2025-09-10T20:00:00+02:00
705;Restricciones PBF;Península;182.8;2025-09-10T21:00:00+02:00
705;Restricciones PBF;Península;180.21;2025-09-10T22:00:00+02:00
705;Restricciones PBF;Península;178.72;2025-09-10T23:00:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T00:00:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T00:15:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T00:30:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T00:45:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T01:00:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T01:15:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T01:30:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T01:45:00+02:00
687;Desvíos a bajar;Península;35.79;2025-09-10T02:00:00+02:00
687;Desvíos a bajar;Península;30.72;2025-09-10T02:15:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T02:30:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T02:45:00+02:00
687;Desvíos a bajar;Península;18.12;2025-09-10T03:00:00+02:00
687;Desvíos a bajar;Península;10.67;2025-09-10T03:15:00+02:00
687;Desvíos a bajar;Península;10.79;2025-09-10T03:30:00+02:00
687;Desvíos a bajar;Península;10.47;2025-09-10T03:45:00+02:00
687;Desvíos a bajar;Península;17.76;2025-09-10T04:00:00+02:00
687;Desvíos a bajar;Península;16.15;2025-09-10T04:15:00+02:00
687;Desvíos a bajar;Península;15.76;2025-09-10T04:30:00+02:00
687;Desvíos a bajar;Península;15.33;2025-09-10T04:45:00+02:00
687;Desvíos a bajar;Península;5.31;2025-09-10T05:00:00+02:00
687;Desvíos a bajar;Península;5.15;2025-09-10T05:15:00+02:00
687;Desvíos a bajar;Península;11.52;2025-09-10T05:30:00+02:00
687;Desvíos a bajar;Península;11.73;2025-09-10T05:45:00+02:00
687;Desvíos a bajar;Península;14.48;2025-09-10T06:00:00+02:00
687;Desvíos a bajar;Península;19.74;2025-09-10T06:15:00+02:00
687;Desvíos a bajar;Península;34.21;2025-09-10T06:30:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T06:45:00+02:00
687;Desvíos a bajar;Península;32.77;2025-09-10T07:00:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T07:15:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T07:30:00+02:00
687;Desvíos a bajar;Península;63.31;2025-09-10T07:45:00+02:00
687;Desvíos a bajar;Península;63.69;2025-09-10T08:00:00+02:00
687;Desvíos a bajar;Península;34.55;2025-09-10T08:15:00+02:00
687;Desvíos a bajar;Península;16.78;2025-09-10T08:30:00+02:00
687;Desvíos a bajar;Península;19.91;2025-09-10T08:45:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T09:00:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T09:15:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T09:30:00+02:00
687;Desvíos a bajar;Península;-0.87;2025-09-10T09:45:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T10:00:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T10:15:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T10:30:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T10:45:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T11:00:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T11:15:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T11:30:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T11:45:00+02:00
687;Desvíos a bajar;Península;-6.57;2025-09-10T12:00:00+02:00
687;Desvíos a bajar;Península;-8.57;2025-09-10T12:15:00+02:00
687;Desvíos a bajar;Península;-8.65;2025-09-10T12:30:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T12:45:00+02:00
687;Desvíos a bajar;Península;-3;2025-09-10T13:00:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T13:15:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T13:30:00+02:00
687;Desvíos a bajar;Península;0;2025-09-10T13:45:00+02:00
